Track ID,Loai Phuong Tien,Frame Dau,Frame Cuoi,So Frame Xuat Hien,Frame Ghi Nhan,Da Ghi Nhan,Co Bien So,Frame Bien So Tot Nhat,Do Tin Cay Bien So
1,Car,0,39,40,31,Yes,Yes,31,0.4790
2,Car,0,79,80,None,No,Yes,1,0.5903
3,Car,0,81,82,20,Yes,Yes,20,0.5838
4,Car,0,9,10,0,Yes,Yes,0,0.5609
5,Car,0,60,60,None,No,No,None,None
8,Car,0,28,29,2,Yes,Yes,2,0.5481
10,Truck,0,245,246,0,Yes,Yes,0,0.5350
13,Car,0,130,131,None,No,Yes,9,0.6170
18,Motorcycle,0,6,7,None,No,No,None,None
124,Car,14,345,332,None,No,Yes,80,0.5593
191,Motorcycle,36,69,30,None,No,No,None,None
193,Car,29,134,106,69,Yes,Yes,69,0.5376
212,Motorcycle,34,104,71,50,Yes,Yes,50,0.4811
233,Motorcycle,40,44,4,None,No,No,None,None
255,Car,45,46,2,None,No,No,None,None
274,Car,49,75,25,64,Yes,Yes,64,0.4857
282,Car,51,52,2,None,No,No,None,None
296,Motorcycle,55,199,117,110,Yes,Yes,110,0.5539
311,Car,58,58,1,None,No,Yes,58,0.5755
331,Motorcycle,60,190,109,None,No,No,None,None
337,Motorcycle,61,65,2,None,No,No,None,None
341,Car,63,83,16,None,No,No,None,None
342,Truck,63,64,2,None,No,No,None,None
344,Car,63,63,1,None,No,Yes,63,0.5762
347,Motorcycle,64,68,4,None,No,No,None,None
374,Car,68,86,14,None,No,No,None,None
382,Truck,70,173,104,102,Yes,Yes,102,0.5857
383,Motorcycle,78,83,4,None,No,No,None,None
410,Truck,75,120,45,None,No,No,None,None
427,Motorcycle,80,83,4,None,No,No,None,None
429,Motorcycle,83,83,1,None,No,No,None,None
453,Motorcycle,84,137,51,None,No,No,None,None
456,Car,82,298,217,150,Yes,Yes,150,0.6253
461,Car,83,84,2,None,No,No,None,None
471,Motorcycle,85,184,100,None,No,No,None,None
474,Motorcycle,86,111,19,None,No,Yes,100,0.5375
553,Motorcycle,102,124,10,107,Yes,Yes,107,0.5723
562,Motorcycle,105,135,30,None,No,No,None,None
609,Motorcycle,118,120,3,None,No,No,None,None
612,Motorcycle,123,176,51,None,No,No,None,None
646,Motorcycle,129,130,2,None,No,No,None,None
665,Motorcycle,134,344,183,None,No,Yes,150,0.5647
682,Motorcycle,140,140,1,None,No,No,None,None
728,Car,153,253,101,198,Yes,Yes,198,0.5293
738,Motorcycle,159,191,29,None,No,No,None,None
747,Motorcycle,157,190,25,None,No,Yes,158,0.5628
823,Car,174,183,9,None,No,No,None,None
846,Motorcycle,178,354,172,None,No,No,None,None
855,Car,179,480,268,None,No,Yes,300,0.6192
865,Car,182,348,167,None,No,Yes,260,0.5752
867,Motorcycle,183,264,50,None,No,No,None,None
873,Car,185,221,35,None,No,Yes,217,0.4068
874,Motorcycle,186,235,49,228,Yes,Yes,228,0.5269
883,Motorcycle,188,235,47,None,No,No,None,None
898,Motorcycle,190,190,1,None,No,No,None,None
910,Motorcycle,194,201,6,None,No,No,None,None
916,Motorcycle,195,269,61,None,No,No,None,None
954,Motorcycle,208,208,1,None,No,No,None,None
958,Truck,210,247,38,None,No,No,None,None
963,Truck,212,372,161,232,Yes,Yes,232,0.5407
1066,Motorcycle,243,363,119,335,Yes,Yes,335,0.5256
1085,Motorcycle,247,260,3,None,No,No,None,None
1087,Motorcycle,247,250,3,None,No,No,None,None
1095,Motorcycle,248,257,4,None,No,No,None,None
1100,Car,249,428,180,300,Yes,Yes,300,0.5201
1103,Car,250,258,9,None,No,Yes,254,0.6105
1114,Car,253,293,36,261,Yes,Yes,261,0.6281
1123,Motorcycle,256,300,44,None,No,No,None,None
1148,Car,263,263,1,None,No,Yes,263,0.6125
1152,Motorcycle,483,519,20,None,No,No,None,None
1167,Car,267,267,1,None,No,Yes,267,0.6178
1175,Motorcycle,268,319,47,None,No,No,None,None
1177,Motorcycle,269,271,3,None,No,No,None,None
1201,Motorcycle,274,426,152,None,No,Yes,300,0.5031
1206,Truck,275,277,3,None,No,Yes,276,0.6118
1211,Motorcycle,281,318,36,None,No,No,None,None
1225,Motorcycle,279,302,19,None,No,No,None,None
1233,Car,281,476,196,325,Yes,Yes,325,0.5312
1258,Motorcycle,285,362,78,None,No,No,None,None
1264,Car,287,287,1,None,No,Yes,287,0.6161
1292,Motorcycle,293,324,29,None,No,No,None,None
1299,Motorcycle,293,455,155,None,No,No,None,None
1306,Truck,295,296,2,None,No,Yes,296,0.6112
1326,Motorcycle,301,333,32,None,No,No,None,None
1354,Motorcycle,307,326,19,None,No,No,None,None
1374,Truck,312,314,3,None,No,Yes,313,0.6064
1395,Car,318,449,132,354,Yes,Yes,354,0.5646
1402,Motorcycle,332,340,3,None,No,No,None,None
1439,Motorcycle,326,368,43,None,No,No,None,None
1455,Car,332,334,3,None,No,Yes,332,0.5978
1483,Truck,337,337,1,None,No,Yes,337,0.5970
1525,Car,346,347,2,None,No,Yes,346,0.5992
1538,Car,349,368,20,None,No,No,None,None
1544,Car,351,354,4,None,No,Yes,354,0.6030
1547,Motorcycle,352,352,1,None,No,No,None,None
1589,Motorcycle,358,504,88,361,Yes,Yes,361,0.4868
1598,Car,359,519,155,410,Yes,Yes,410,0.5678
1618,Car,363,365,3,None,No,Yes,363,0.5927
1625,Motorcycle,364,364,1,None,No,No,None,None
1648,Car,374,436,63,None,No,Yes,423,0.5311
1649,Truck,368,519,148,None,No,Yes,428,0.5919
1664,Truck,371,372,2,None,No,Yes,372,0.5874
1689,Truck,380,412,33,None,No,Yes,410,0.5663
1707,Car,386,519,134,None,No,Yes,450,0.5440
1714,Car,388,388,1,None,No,Yes,388,0.5711
1821,Truck,408,408,1,None,No,Yes,408,0.5547
1832,Motorcycle,409,414,4,None,No,No,None,None
1882,Truck,415,415,1,None,No,Yes,415,0.5458
1889,Motorcycle,416,469,52,None,No,No,None,None
1902,Car,418,420,3,None,No,Yes,418,0.5519
1907,Motorcycle,418,418,1,None,No,No,None,None
1929,Truck,423,423,1,None,No,Yes,423,0.5456
1935,Car,424,428,5,424,Yes,Yes,424,0.5966
1936,Motorcycle,424,451,19,None,No,No,None,None
1943,Motorcycle,425,426,2,None,No,No,None,None
1944,Car,425,443,19,442,Yes,Yes,442,0.5000
1949,Car,426,509,84,None,No,Yes,489,0.5000
1975,Motorcycle,430,496,61,None,No,Yes,484,0.4015
1986,Car,433,445,13,None,No,Yes,435,0.5901
1992,Truck,435,437,3,None,No,Yes,436,0.5334
2012,Car,442,519,78,470,Yes,Yes,470,0.5806
2014,Motorcycle,443,493,50,None,No,No,None,None
2016,Truck,443,519,77,None,No,Yes,490,0.5709
2023,Motorcycle,496,497,2,None,No,No,None,None
2052,Car,450,513,50,None,No,Yes,500,0.6178
2070,Motorcycle,456,510,43,None,No,No,None,None
2082,Car,459,462,4,None,No,Yes,460,0.5883
