Track ID,Loai Phuong Tien,Hop Le,So Diem,Frame Dau,Frame Cuoi,Lan Xuat Phat,Bang Chung Lan Xuat Phat,Chuoi Lan,Chuoi Vung Uu Tien,Chuoi Vung Quet Truc Tiep,Chuoi So,So Diem Tung Vung,Khoang Frame Tung Vung,Vung Dich Cuoi,Bang Chung Vung Dich Cuoi
1,Car,yes,355,0,356,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=80; 5:far_straight_exit=199,4:straight_exit=20-99; 5:far_straight_exit=104-300|304-305,unknown,0/12; frame=unknown
2,Car,yes,423,0,443,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=106; 5:far_straight_exit=181,4:straight_exit=55-160; 5:far_straight_exit=164-345,unknown,0/12; frame=unknown
3,Car,yes,376,0,437,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=108; 5:far_straight_exit=209,4:straight_exit=57-164; 5:far_straight_exit=167-437,far_straight_exit,12/12; frame=437
10,Truck,yes,516,0,519,left,10/10,left,left_exit,left_exit,1>3,3:left_exit=422,3:left_exit=94-519,left_exit,12/12; frame=519
13,Car,yes,462,0,484,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=92; 5:far_straight_exit=142,4:straight_exit=101-192; 5:far_straight_exit=196-352,unknown,0/12; frame=unknown
124,Car,yes,506,14,519,left,10/10,left,left_exit>straight_exit,left_exit>straight_exit,1>3>4,3:left_exit=56; 4:straight_exit=188,3:left_exit=274-329; 4:straight_exit=332-519,straight_exit,12/12; frame=519
191,Motorcycle,yes,84,29,112,straight,10/10,straight,straight_exit,straight_exit,2>4,4:straight_exit=64,4:straight_exit=49-112,straight_exit,12/12; frame=112
193,Car,yes,332,29,362,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=103; 5:far_straight_exit=145,4:straight_exit=109-211; 5:far_straight_exit=216-362,far_straight_exit,12/12; frame=362
212,Motorcycle,yes,152,34,195,straight,10/10,straight,straight_exit>far_straight_exit,straight_exit>far_straight_exit,2>4>5,4:straight_exit=87; 5:far_straight_exit=15,4:straight_exit=83-169; 5:far_straight_exit=171-195,far_straight_exit,12/12; frame=195
233,Motorcycle,no,5,39,44,left,3/3,left,unknown,unknown,1,none,none,unknown,0/5; frame=unknown
